# id network 	 title 
# Community0
21	Levantaron el pedido de captura de Bonafini, que será indagada en la sede de Madres
22	Criticó el Gobierno la "apropiación" de los derechos humanos
23	Destrozos en La Plata: acusan a La Cámpora
24	Detienen al agresor de Nuevo Encuentro
25	Se mató el jefe de seguridad de tribunales
26	Convocatoria a la resistencia en Mar del Plata
27	Investigan la presencia de células terroristas
30	Canicoba investigará la denuncia a Gemignani
31	Citan por fraude a la ex procuradora del Tesoro
38	El Gobierno no renovará el pacto antidespidos con los empresarios
40	"No conozco a De Vido"
42	Amenaza en un hotel donde exponía Bonafini
46	Dos personas amenazaron una vivienda de Macri
48	Casi 3000 documentos en el sitio de LN Data
51	Queja de los fieles por la invasión de la política
52	Para el Gobierno, "se politizó una marcha genuina"
55	José López y De Vido, a la Justicia por dos causas
56	Cristina y Stolbizer, cara a cara en una mediación con pronóstico reservado
57	Amplían la denuncia de Carrió contra Scioli
59	Gimnasia: en el Gobierno promueven una "pausa activa"
60	Críticas  en EE.UU. hacia la Argentina
61	Síntesis
62	De Vido señaló a gobernadores e intendentes por el desvío de fondos
63	En las provincias dicen que el ex ministro no podía no saber
64	Bergman condicionó las obras en Santa Cruz
65	Fracasó la mediación entre Cristina y Stolbizer y escaló la disputa con nuevas denuncias
66	Llegaron temprano y enfrentaron gritos a favor y en contra
67	La ex presidenta se reunió con Scioli para dar una señal de unidad en pleno avance judicial
68	Máximo, con perfil más alto y críticas a Macri
70	Allanaron oficinas del IOMA por la acusación de Carrió contra Scioli
78	Síntesis
83	El equipo de Vidal, con la UCR bonaerenses
84	Impulsan un paro de docentes en la provincia
86	Boudou suma una nueva acusación en la Justicia
88	Stolbizer, contra Báez, Cristina y Máximo
96	Síntesis
99	Firmas de servicios públicos, en crisis
102	Allanan una empresa vinculada con el ex gobernador Urribarri
103	Identifican a la víctima 85 del atentado a la AMIA
104	El juez fue a las Madres y Bonafini se negó a declarar
105	Bonadio liberó del embargo la pensión de la ex presidenta
108	Presentan una segunda etapa del plan de transparencia del Estado
110	El 76% de la gente se muestra insatisfecho con la situación económica del país
114	Flexibilizan el visado con China
115	Síntesis
117	Lifschitz y Urtubey llamaron al consenso
118	Lifschitz y Urtubey llamaron al consenso
122	Macri enfrenta las primeras rebeldías e intentos revisionistas
124	El massismo decide sus próximos pasos
127	López, el hombre de traje azul, con un discurso articulado y olvidos selectivos
129	Cristina se reunió con Bonafini  antes de la ronda 2000 de las Madres y la calificó de "ejemplo"
130	El Gobierno "corrigió" a Macri y repudió "el terrorismo de Estado"
132	Santa Cruz: protesta de la policía por falta de pago
133	El Barrio Kirchner: una costosa alegoría de la obra pública en la última década
139	Agrupaciones sociales y de derechos humanos lideraron la protesta
142	Mario Ishii: “Hay sectores del PJ que quieren que al Gobierno le vaya muy mal”
147	Concluirán las obras en el barrio Kirchner
148	Síntesis
153	Si pierde en la ONU seguirá en el gabinete
156	Fe de erratas
157	El jefe de la Bonaerense ahora es acusado por violencia de género
158	Carrió quiere derogar la AFI y crear dos nuevos organismos
161	Lejos de la polarización, la mayoría se declara neutral
163	Massa volvió a definirse como "garante de la gobernabilidad"
164	Se agrava la situación social en Santa Cruz
167	Un debate parlamentario que se alarga
171	Reeditarán la Marcha Federal de los 90
174	Qué pasó y qué pasa con los salarios y la inflación
175	Síntesis
181	Síntesis
191	De Vido evitó la cita con Aranguren para no hablar de la herencia
193	Satisfecho, el Gobierno respaldó al ministro
194	Con las Madres, Cristina lanzó críticas al Gobierno
196	Denuncian a Othacehé por defraudación y lavado
197	La vicepresidenta recibió una amenaza de muerte
205	Pocas expectativas en materia de corrupción
208	El quinto juez recién jura el lunes
211	Una granada a 50 metros de una jueza
221	Falbo inició los trámites para obtener la jubilación
222	Síntesis
237	Síntesis
264	Juan Carlos Schmid: "El deterioro social es creciente"
266	Héctor Daer: "Macri debe rectificar muchas cosas"
302	Un fiscal investiga a Othacehé por enriquecimiento, fraude y lavado
312	Síntesis
331	La Cámpora marcha contra el Gobierno en la Plaza de Mayo
332	La agrupación de D'Elía convocó a protestar
341	Revés judicial para un empresario uruguayo
352	El kirchnerismo salió a la calle para reclamar por la falta de puestos de trabajo
353	El Gobierno percibe un plan para perjudicarlo
354	Los seguidores de Moreno, lejos de La Cámpora y cerca de su jefe
355	El FPV y el desafío de la resistencia
361	Respaldan al juez que amenazó con renunciar
369	Máximo criticó a Macri y pidió reconstruir el kirchnerismo
370	Pichetto, muy crítico con la protesta
383	Urtubey: "La forma de mejorar un país no es voltear un gobierno"
416	Stolbizer propuso un nuevo Nunca Más
527	Imputaron a De Vido por desvío de fondos
551	El kirchnerismo volvió a llamar a resistir las políticas del Gobierno
601	Vuelve Cristina al ruedo político con la intención de "redoblar la resistencia"
# Community2
43	El Gobierno no espera una rápida decisión de la Corte por las tarifas
155	Eje de críticas en Cambiemos, la Casa Rosada defiende las decisiones técnicas de Clusellas
178	La Corte apura esta semana una definición
179	El Gobierno casi agotó los fondos disponibles para subsidiar la luz
206	Un fallo estratégico
207	Tarifas: la Corte Suprema ordenará al Gobierno realizar audiencias
209	Macri confía en un fallo favorable y razonable
210	Gils Carbó dictaminó en contra de las subas en las facturas de gas
212	El precio mayorista es la clave del valor de las facturas
223	Los tres costos de la sentencia
224	La Corte le infligió un duro revés al Gobierno al frenar parte de la suba del gas
225	Entretelones de un fallo que debía ser unánime
226	Guía para entender un proceso complejo
227	El Gobierno buscó minimizar el impacto del fallo, pero anticipará el llamado a audiencias
228	La oposición celebró con cautela y pidió por las pymes
229	Más sombras que luces en el horizonte del Gobierno
230	Cristina festejó el fallo y llamó a "defender los derechos adquiridos"
240	Se pagarán en 4 cuotas las facturas atrasadas
241	Garavano dijo que fue "positiva" la recepción del fallo y destacó el impacto fiscal limitado
244	Debate interno sobre la interlocución con la Corte Suprema
246	Las Pymes evalúan ir a la Justicia para frenar la suba del gas a las empresas
248	Con los mismos fundamentos, otro fallo era esperable
249	El rol del tribunal en  el fallo por las tarifas
258	El Gobierno busca dar señales a la Corte, preocupado por las tarifas eléctricas
260	La nueva Corte: un enigma indescifrable para la Casa Rosada
284	Rosenkrantz juró en la Corte y el tribunal completo ya estudia las tarifas eléctricas
345	Tarifas de luz: la Corte no tiene un expediente en firme para expedirse
424	El Gobierno espera un fallo favorable de la Corte por la luz para la próxima semana
426	El colegio de abogados cuestionó al tribunal
492	La Corte dejaría sin efecto la cautelar que trabó los aumentos
509	Del enojo al alivio
510	Tarifas de luz: la Corte le permite al Gobierno ahorrar U$S 4000 millones
# Community3
378	Ofensiva de la oposición para poner un límite al uso de los superpoderes
420	Massa y Pichetto unen reclamos al Gobierno
546	El oficialismo acepta realizar un recorte en los "superpoderes"
599	Los gobernadores del PJ, atentos a las cifras del presupuesto 2017
600	Importante subejecución en áreas clave de la administración
619	El peronismo pondrá sus condiciones en el debate del presupuesto
632	El Gobierno prevé una baja moderada en Ganancias
647	Prat-Gay presenta las pautas para 2017
655	La oposición recibió con matices la propuesta oficial
656	El Gobierno apuesta a sostener el gasto para reactivar la economía
657	Ganancias: la baja del impuesto será gradual
658	Expansión fiscal y cifras más creíbles para un año electoral
688	Tributaristas aprueban los cambios en Ganancias, pero piden una cláusula de ajuste
695	Macri girará más fondos a los gobernadores para renovar su respaldo
697	Una provincia en obras, la apuesta de Vidal para la campaña
698	Un escudo ante la aspiración gremial por Ganancias
699	Presión del peronismo por las provincias
701	Luciano Laspina: "No estamos llevando a la Argentina a un nuevo proceso de endeudamiento"
744	El Gobierno admitió que crecerá la deuda privada, pero relativizó su impacto
761	Los gobernadores del PJ condicionan su apoyo al presupuesto
775	El PJ busca apoyo de Massa y del kirchnerismo para presionar por cambios en el presupuesto
802	El Gobierno apuesta a la obra pública para las elecciones
804	Domingo Peppo: "A diferencia del kirchnerismo, reconocemos errores"
805	Gustavo Bordet: "Queremos que se nos asignen recursos que hoy están difusos"
806	El peronismo se reagrupa y quiere aplicar cambios en la discusión por el presupuesto
808	Axel Kicillof: "Quieren bajar la inflación con la receta de los años 90"
810	Marco Lavagna: "El riesgo es depender de la deuda"
811	Diego Bossio: "Hay un vicio de centralismo muy fuerte en la Argentina"
825	Preocupa en el Gobierno el rojo fiscal de las cuentas provinciales
826	Llevarán las provincias el pedido de más fondos
827	Tras diez meses, la obra pública está en el nivel que la Casa Rosada cree "necesario"
840	El Gobierno consiguió el apoyo de las provincias a los cambios en Ganancias
841	Con elogios de la oposición por los programas sociales, Stanley defendió el presupuesto
888	Advierten que el gasto social perderá frente a la inflación
911	José Cano: "Está bien que los gobernadores reciban plata, pero tienen que hacer cambios"
966	Frigerio defendió el Plan Belgrano ante las críticas de la oposición
1029	Eximir de Ganancias a la Justicia insume $ 5606 millones
1074	Bullrich defendió el presupuesto para Educación y negó un recorte
1089	Los gobernadores peronistas mantendrán la presión por cambios en el presupuesto
# Community4
245	Macri desplazó al director de la Aduana ante una sospecha de coimas
255	Un pasado polémico y muchas internas
261	Sorpresa y sospechas por la denuncia al titular de la Aduana
286	La fiscalía imputó al jefe de la Aduana y pidió su indagatoria
293	Espionaje fuera de control
296	La Justicia revisará las llamadas telefónicas de Gómez Centurión
297	Macri aún cree que es un funcionario honesto
319	Secuestran datos de las computadoras de Gómez Centurión
326	Macri, envuelto en un clima de contradicción
339	Para Carrió, Gómez Centurión "es honesto"
363	Un jefe de Aduanas denunció a Gómez Centurión por represalias
392	Discusión y acuerdo en una comida con Carrió
452	Fuerte denuncia de Carrió por la Aduana
563	Fuerte puja interna en el Gobierno por la detección del cargamento de drogas
564	Críticas de Bullrich al ex jefe de la Aduana
565	Gómez Centurión: "A mí nunca me avisaron de esa pseudoefedrina"
581	Bullrich-Centurión, una puja interna que viene de larga data
582	Majdalani: "No se hizo un seguimiento "
960	Guiño de la Justicia para Gómez Centurión, que espera volver
977	Macri analiza reponer en forma inminente a Gómez Centurión al frente de la Aduana
978	Bullrich desactivó el conflicto y cerró filas con el funcionario
1094	Gómez Centurión vuelve a la Aduana
# Community5
456	La CGT llevó los reclamos al Gobierno
773	La Casa Rosada evalúa convocar a sindicatos y a empresarios
790	Ganancias y ART, el plan para desactivar la huelga
877	Gesto a la CGT: evalúan eximir el aguinaldo de Ganancias
881	Gesto a la CGT: evalúan eximir el aguinaldo de Ganancias
883	El Gobierno convocó a una mesa de diálogo y la CGT frenó el paro
884	Un cambio en la estrategia  oficial
885	La incógnita de los gremios es hasta dónde cederá Macri
886	Con reparos, en las empresas avalan la mesa de diálogo
904	El Gobierno dará un bono y el aguinaldo no pagará Ganancias
