0, 0.0
0, 1.0
0, 2.0
0, 3.0
0, 4.0
1, 6.0
1, 7.0
1, 10.0
1, 14.0
1, 17.0
0, 21.0
0, 22.0
1, 23.0
1, 24.0
1, 25.0
0, 26.0
1, 27.0
1, 30.0
1, 31.0
1, 39.0
2, 41.0
0, 43.0
1, 48.0
1, 50.0
1, 54.0
1, 55.0
0, 58.0
1, 59.0
2, 60.0
1, 63.0
1, 64.0
1, 65.0
0, 66.0
0, 67.0
1, 68.0
1, 69.0
1, 70.0
1, 71.0
1, 72.0
1, 74.0
1, 82.0
1, 87.0
1, 88.0
3, 91.0
1, 93.0
1, 101.0
3, 104.0
1, 107.0
1, 108.0
0, 110.0
1, 111.0
1, 114.0
1, 116.0
1, 120.0
1, 121.0
1, 124.0
1, 125.0
1, 129.0
1, 131.0
1, 134.0
0, 137.0
1, 138.0
1, 140.0
1, 141.0
0, 147.0
1, 151.0
1, 156.0
1, 157.0
1, 162.0
1, 165.0
1, 166.0
1, 167.0
1, 170.0
1, 172.0
1, 173.0
4, 176.0
1, 181.0
1, 184.0
1, 185.0
1, 192.0
1, 202.0
1, 204.0
0, 205.0
1, 207.0
1, 208.0
1, 216.0
1, 219.0
1, 222.0
1, 233.0
1, 234.0
1, 249.0
1, 278.0
1, 280.0
1, 320.0
0, 330.0
0, 350.0
1, 351.0
2, 361.0
0, 373.0
1, 374.0
0, 375.0
1, 376.0
2, 383.0
0, 391.0
1, 392.0
0, 407.0
1, 443.0
0, 571.0
0, 600.0
0, 656.0
